source:/home/lalibelulalo/TESIS/Clados/Calothrix_B/pangenoma	Calothrix_parasitica_NIES-267.gbff	Calothrix_sp_336-3_336-3.gbff	Calothrix_sp_NIES-3974_NIES-3974.gbff	Calothrix_sp_NIES-4071_NIES-4071.gbff	Calothrix_sp_NIES-4105_NIES-4105.gbff	Calothrix_sp_PCC_6303_PCC_6303.gbff	Calothrix_sp_PCC_7716_PCC_7716.gbff	
5_hypothetical_protein.faa	ID:WP_096652097.1,	-	-	-	-	-	-	
6_2Fe-2S_iron-sulfur_c...faa	ID:WP_096652100.1,	-	-	ID:WP_096688078.1,	ID:WP_096688078.1,	-	-	
7_xanthine_dehydrogena...faa	ID:WP_096652103.1,	-	-	ID:WP_096688077.1,ID:WP_096688825.1,	ID:WP_096688077.1,ID:WP_096688825.1,	ID:WP_015198160.1,	-	
8_xanthine_dehydrogena...faa	ID:WP_096652105.1,	-	-	ID:WP_096687919.1,ID:WP_096694162.1,ID:WP_096688076.1,ID:WP_096688824.1,	ID:WP_096687919.1,ID:WP_096694162.1,ID:WP_096688076.1,ID:WP_096688824.1,	ID:WP_015198161.1,	-	
10_nucleotidyltransfera...faa	ID:WP_096652111.1,	-	-	ID:WP_096686221.1,	ID:WP_096686221.1,	ID:WP_238993803.1,	-	
11_GUN4_N-terminal_ARM-...faa	ID:WP_096652113.1,	-	-	-	-	-	-	
12_pentapeptide_repeat-...faa	ID:WP_096660963.1,	-	-	-	-	-	-	
17_IS200-IS605_family_t...faa	ID:WP_096652128.1,	-	-	-	-	-	ID:WP_224175832.1,ID:WP_224175832.1,ID:WP_224175832.1,ID:WP_224175832.1,ID:WP_224175832.1,	
20_NAD-P--dependent_oxi...faa	ID:WP_096652137.1,	-	-	ID:WP_096689755.1,	ID:WP_096689755.1,	-	ID:WP_224175993.1,	
21_LysR_family_transcri...faa	ID:WP_096652139.1,	-	-	ID:WP_096687911.1,	ID:WP_096687911.1,	-	ID:WP_224175994.1,	
22_DUF4760_domain-conta...faa	ID:WP_096652142.1,	-	-	-	-	-	-	
23_GNAT_family_N-acetyl...faa	ID:WP_096652146.1,ID:WP_096657941.1,ID:WP_096657944.1,	-	-	ID:WP_096685002.1,	ID:WP_096685002.1,	-	ID:WP_224175282.1,	
27_DUF421_domain-contai...faa	ID:WP_096652158.1,	-	-	ID:WP_096685168.1,	ID:WP_096685168.1,	-	-	
28_hypothetical_protein.faa	ID:WP_096652161.1,	-	-	-	-	-	-	
29_hypothetical_protein.faa	ID:WP_096652164.1,	-	-	-	-	-	-	
32_3-deoxy-7-phosphohep...faa	ID:WP_096652174.1,	-	-	ID:WP_096684698.1,	ID:WP_096684698.1,	-	ID:WP_223979934.1,	
