Orthogroup	NIES-267	336-3
OG0000001	WP_096653644.1	WP_035154631.1
OG0000001	WP_096654791.1	WP_035156271.1, WP_035158622.1, WP_035151011.1
OG0000001	WP_096655678.1, WP_096657548.1	WP_035152090.1
OG0000002	WP_096661339.1	WP_035158075.1
OG0000002	WP_096660298.1	WP_035157202.1
OG0000002	WP_096655512.1, WP_096660494.1	WP_035150530.1, WP_035150532.1, WP_052754386.1
OG0000002	WP_096655514.1, WP_096655510.1, WP_096658189.1	WP_035158076.1, WP_035153718.1, WP_035149608.1, WP_035159019.1, WP_035153701.1
OG0000003	WP_096656499.1	WP_035149728.1
OG0000003	WP_096653454.1	WP_046814870.1
OG0000004	WP_096652182.1	WP_046814782.1
OG0000005	WP_096654059.1	WP_035152711.1
OG0000005	WP_096654105.1	WP_052754441.1
OG0000006	WP_096660235.1	WP_035149271.1
OG0000006	WP_096658527.1	WP_238178524.1
OG0000006	WP_096661010.1	WP_035150503.1
OG0000006	WP_096654901.1	WP_035153047.1
OG0000007	WP_096658988.1	WP_035150919.1, WP_035159892.1
OG0000007	WP_096656853.1	WP_052754350.1
OG0000008	WP_096661690.1	WP_035153351.1
OG0000008	WP_096657205.1	WP_035158084.1
OG0000008	WP_096653676.1	WP_035149683.1, WP_035155706.1
OG0000009	WP_096656824.1	WP_035158201.1
OG0000009	WP_096657270.1	WP_035152706.1
OG0000009	WP_096657269.1	WP_035152708.1
OG0000009	WP_096652456.1, WP_096656771.1, WP_096655133.1, WP_096656848.1, WP_096655273.1	WP_035153556.1
OG0000010	WP_096660681.1	WP_035150339.1
OG0000010	WP_096659315.1	WP_035155110.1
OG0000010	WP_096661061.1	WP_082127354.1
OG0000010	WP_096653373.1	WP_052754407.1
OG0000010	WP_096656159.1	WP_035149406.1, WP_052754355.1
OG0000010	WP_096658974.1	WP_035150991.1
OG0000010	WP_096656913.1	WP_052754502.1
OG0000010	WP_096652684.1	WP_035149688.1
OG0000011	WP_096657359.1	WP_035154402.1
OG0000011	WP_096657163.1	WP_035153825.1
OG0000012	WP_096657315.1	WP_046814699.1
OG0000012	WP_096655830.1, WP_096652222.1	WP_035149360.1
OG0000013	WP_096656846.1	WP_035151573.1, WP_035157878.1
OG0000014	WP_096654934.1	WP_035157382.1
OG0000014	WP_096654920.1	WP_035155322.1
OG0000016	WP_096660242.1, WP_096654944.1	WP_035158136.1
OG0000016	WP_096657815.1	WP_035153714.1
