Orthogroup	PCC_7716	NIES-267
OG0000000	WP_224175600.1	WP_096657186.1, WP_096657180.1
OG0000000	WP_224178259.1, WP_224177443.1	WP_096658329.1, WP_096658193.1
OG0000000	WP_224174915.1	WP_096653841.1, WP_096653845.1
OG0000000	WP_224177575.1, WP_224179747.1	WP_096657200.1, WP_096653403.1
OG0000000	WP_224180145.1, WP_224180143.1, WP_224180144.1, WP_224180370.1, WP_224180368.1	WP_096653827.1
OG0000001	WP_224177748.1	WP_096656630.1
OG0000001	WP_224178202.1, WP_224175595.1	WP_096657175.1
OG0000001	WP_224178627.1, WP_224177809.1, WP_223991133.1	WP_096654791.1
OG0000001	WP_223984851.1	WP_096657548.1
OG0000002	WP_223984502.1, WP_224173959.1	WP_096660298.1
OG0000002	WP_224179034.1	WP_096657794.1
OG0000002	WP_224177831.1	WP_096652452.1
OG0000002	WP_224176191.1	WP_096656327.1
OG0000002	WP_224178544.1, WP_224178464.1	WP_096655512.1, WP_096660494.1
OG0000002	WP_224174169.1, WP_224179024.1, WP_224179044.1, WP_224179036.1	WP_096655514.1, WP_096655510.1, WP_096658189.1
OG0000003	WP_224179040.1	WP_096656499.1
OG0000003	WP_224178517.1	WP_096653369.1
OG0000003	WP_224176775.1	WP_096656320.1
OG0000003	WP_224177433.1	WP_096653454.1
OG0000003	WP_224179342.1	WP_096658590.1
OG0000003	WP_223978358.1	WP_096654017.1
OG0000003	WP_224179053.1	WP_096660903.1
OG0000003	WP_223978311.1	WP_096657190.1, WP_096657181.1
OG0000004	WP_224179645.1	WP_096654186.1
OG0000004	WP_255667719.1, WP_224179607.1	WP_096656326.1, WP_096655508.1
OG0000004	WP_223983838.1	WP_096653363.1
OG0000004	WP_224177416.1	WP_096652182.1
OG0000004	WP_223986442.1, WP_223978756.1	WP_096660893.1
OG0000005	WP_224178267.1, WP_224178281.1, WP_224178312.1, WP_224178319.1, WP_224178285.1	WP_096654059.1
OG0000006	WP_224177583.1	WP_096658527.1
OG0000006	WP_223978743.1	WP_096654901.1
OG0000007	WP_224176367.1	WP_096658586.1
OG0000007	WP_223978130.1, WP_224179550.1, WP_224178323.1	WP_096658988.1
OG0000007	WP_224175616.1	WP_096653989.1
OG0000007	WP_224179050.1	WP_096660909.1
