Orthogroup	NIES-4071	NIES-267
OG0000000	WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1	WP_096660904.1, WP_096654009.1, WP_096653450.1, WP_096653424.1
OG0000000	WP_096694864.1, WP_096729073.1	WP_096653841.1, WP_096653845.1
OG0000000	WP_096694731.1	WP_096653827.1
OG0000001	WP_096691420.1	WP_096653644.1
OG0000001	WP_096691449.1, WP_096694257.1	WP_096656630.1
OG0000001	WP_096683859.1	WP_096657175.1
OG0000001	WP_096689525.1, WP_096688982.1	WP_096654791.1
OG0000001	WP_096693914.1	WP_096655678.1
OG0000001	WP_096686922.1	WP_096657548.1
OG0000002	WP_096686563.1	WP_096660298.1
OG0000002	WP_096691159.1	WP_096652452.1
OG0000002	WP_096693625.1	WP_096656327.1
OG0000002	WP_096684085.1, WP_096691780.1	WP_096655514.1, WP_096655510.1, WP_096658189.1
OG0000003	WP_096683788.1	WP_096656499.1
OG0000003	WP_096688734.1	WP_096653369.1
OG0000003	WP_096692517.1	WP_096656320.1
OG0000003	WP_096688721.1	WP_096658590.1
OG0000003	WP_096686158.1	WP_096654017.1
OG0000003	WP_096688649.1, WP_096685969.1	WP_096660903.1
OG0000004	WP_096684087.1	WP_096655677.1, WP_096654186.1, WP_096656326.1, WP_096655508.1
OG0000004	WP_096688735.1	WP_096653363.1
OG0000004	WP_096691937.1	WP_096652182.1
OG0000004	WP_096689080.1	WP_096660893.1
OG0000005	WP_096687819.1, WP_096690199.1, WP_096690182.1, WP_096685034.1, WP_096690189.1, WP_096690190.1	WP_096654059.1
OG0000005	WP_096685039.1, WP_096687816.1	WP_096654105.1
OG0000005	WP_096685037.1	WP_096654061.1, WP_096654073.1
OG0000006	WP_096695216.1	WP_096660235.1
OG0000006	WP_096688995.1	WP_096658527.1
OG0000006	WP_096684079.1, WP_096694259.1	WP_096661010.1
OG0000006	WP_096689394.1, WP_096689393.1	WP_096656254.1
OG0000006	WP_096693503.1	WP_096654901.1
OG0000007	WP_096692877.1	WP_096658586.1
OG0000007	WP_096684672.1	WP_096658988.1
OG0000007	WP_096686146.1	WP_096653989.1
OG0000007	WP_096694206.1	WP_096660909.1
OG0000007	WP_096691919.1	WP_096656853.1
OG0000008	WP_096689183.1	WP_096661690.1
OG0000008	WP_096686702.1, WP_096691783.1	WP_096657805.1
OG0000008	WP_096692911.1, WP_096692912.1	WP_096655933.1
OG0000008	WP_096688693.1, WP_096688683.1	WP_096653676.1
OG0000009	WP_096688202.1	WP_096656824.1
OG0000009	WP_096689785.1	WP_096660236.1
OG0000009	WP_096694550.1, WP_096685165.1	WP_096656771.1, WP_096655133.1
OG0000009	WP_096688208.1	WP_096656848.1
OG0000009	WP_096689492.1	WP_096655273.1
OG0000010	WP_096692129.1	WP_096660681.1
OG0000010	WP_096689933.1	WP_096658974.1
OG0000011	WP_096686164.1	WP_096657359.1
OG0000011	WP_096692402.1	WP_096660861.1
OG0000011	WP_096686129.1, WP_096685800.1	WP_096657163.1
OG0000012	WP_096686306.1	WP_096657315.1
OG0000012	WP_096691685.1	WP_096655830.1
OG0000013	WP_096690359.1, WP_096688618.1, WP_096688603.1, WP_096684600.1, WP_096684867.1, WP_096688279.1, WP_096688278.1, WP_096688280.1, WP_096689643.1, WP_096687407.1, WP_096688657.1	WP_096656846.1
OG0000014	WP_096691235.1	WP_096654934.1
