Orthogroup	PCC_6303	NIES-267
OG0000000	WP_015197334.1, WP_015199074.1	WP_096658329.1, WP_096658193.1
OG0000000	WP_158333186.1	WP_096653841.1, WP_096653845.1
OG0000000	WP_158333138.1	WP_096657200.1, WP_096653403.1
OG0000001	WP_015196065.1	WP_096653644.1
OG0000001	WP_015197900.1	WP_096657175.1
OG0000001	WP_015198767.1	WP_096658552.1, WP_096657544.1
OG0000001	WP_015195938.1	WP_096654791.1
OG0000001	WP_015173933.1	WP_096655678.1, WP_096657548.1
OG0000003	WP_015199109.1	WP_096656499.1
OG0000003	WP_068972683.1	WP_096653454.1
OG0000003	WP_015200453.1	WP_096658590.1
OG0000004	WP_015197258.1, WP_015200354.1	WP_096656326.1, WP_096655508.1
OG0000004	WP_015198912.1	WP_096652182.1
OG0000004	WP_015199222.1	WP_096660893.1
OG0000005	WP_015198212.1, WP_015198216.1	WP_096654059.1
OG0000005	WP_015198217.1	WP_096654105.1
OG0000006	WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1	WP_096660235.1, WP_096658527.1, WP_096661010.1
OG0000006	WP_015195855.1	WP_096656254.1
OG0000006	WP_015197438.1, WP_015196927.1, WP_015199014.1, WP_015198729.1	WP_096661125.1
OG0000006	WP_015199356.1	WP_096654901.1
OG0000007	WP_015199497.1	WP_096658586.1
OG0000008	WP_015199589.1	WP_096661690.1
OG0000008	WP_015196050.1	WP_096657205.1
OG0000008	WP_015196367.1, WP_015197278.1	WP_096657805.1
OG0000008	WP_015196884.1	WP_096658046.1, WP_096655801.1
OG0000008	WP_015199368.1	WP_096655933.1
OG0000008	WP_015196926.1, WP_015199688.1, WP_015199687.1	WP_096653676.1
OG0000009	WP_015196938.1	WP_096660236.1
OG0000010	WP_015199610.1	WP_096660681.1
OG0000010	WP_015198738.1	WP_096659315.1
OG0000010	WP_015196471.1	WP_096661061.1
OG0000010	WP_015200344.1	WP_096659319.1, WP_096660859.1
OG0000010	WP_015196502.1	WP_096656159.1
OG0000010	WP_015199648.1	WP_096652684.1
OG0000011	WP_015198485.1	WP_096657359.1
OG0000012	WP_015200439.1	WP_096657315.1
OG0000012	WP_015200231.1	WP_096655830.1
OG0000014	WP_015200405.1	WP_096654934.1
OG0000014	WP_015201036.1	WP_096654920.1
OG0000014	WP_015200537.1	WP_096660526.1
OG0000016	WP_015198501.1	WP_096660242.1, WP_096654944.1
OG0000016	WP_015199431.1	WP_096657937.1
