HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N5.HOG0000000	OG0000000	n2				WP_096691415.1	WP_096691415.1		
N5.HOG0000001	OG0000000	n10				WP_096686963.1	WP_096686963.1		
N5.HOG0000002	OG0000000	n18				WP_096692195.1	WP_096692195.1		
N5.HOG0000003	OG0000000	n20				WP_096686965.1	WP_096686965.1		
N5.HOG0000004	OG0000000	n21				WP_096693593.1	WP_096693593.1		
N5.HOG0000005	OG0000000	n22				WP_096694987.1	WP_096694987.1		
N5.HOG0000006	OG0000000	n25				WP_096694962.1	WP_096694962.1		
N5.HOG0000007	OG0000000	n31				WP_096688648.1	WP_096688648.1		
N5.HOG0000008	OG0000000	n32				WP_096688641.1	WP_096688641.1		
N5.HOG0000009	OG0000000	n33				WP_096683928.1	WP_096683928.1		
N5.HOG0000010	OG0000000	n49				WP_096694864.1	WP_096694864.1		
N5.HOG0000011	OG0000000	n50				WP_096729073.1	WP_096686957.1		
N5.HOG0000012	OG0000000	n57				WP_096694731.1	WP_096694731.1		
N5.HOG0000013	OG0000000	n64				WP_096683874.1	WP_096683874.1		
N5.HOG0000014	OG0000000	n67				WP_096685762.1	WP_096685762.1		
N5.HOG0000015	OG0000001	n2				WP_096691420.1	WP_096691420.1		
N5.HOG0000016	OG0000001	n9				WP_096691449.1	WP_096691449.1		
N5.HOG0000017	OG0000001	n10				WP_096694257.1	WP_096694257.1		
N5.HOG0000018	OG0000001	n12				WP_096683859.1	WP_096683859.1		
N5.HOG0000019	OG0000001	n22				WP_096691166.1	WP_096691166.1		
N5.HOG0000020	OG0000001	n27				WP_096690151.1	WP_096690151.1		
N5.HOG0000021	OG0000001	n31				WP_096684244.1	WP_096684244.1		
N5.HOG0000022	OG0000001	n38				WP_096689525.1	WP_096689525.1		
N5.HOG0000023	OG0000001	n44				WP_096688982.1	WP_096688982.1		
N5.HOG0000024	OG0000001	n51				WP_096683883.1	WP_096683883.1		
N5.HOG0000025	OG0000001	n52				WP_096685148.1	WP_096685148.1		
N5.HOG0000026	OG0000001	n56				WP_096693914.1	WP_096693914.1		
N5.HOG0000027	OG0000001	n58				WP_096686922.1	WP_096686922.1		
N5.HOG0000028	OG0000001	n61				WP_096691299.1	WP_096691299.1		
N5.HOG0000029	OG0000002	n2				WP_096687611.1	WP_096687611.1		
N5.HOG0000030	OG0000002	n4				WP_096688256.1	WP_096688256.1		
N5.HOG0000031	OG0000002	n12				WP_096686563.1	WP_096686563.1		
N5.HOG0000032	OG0000002	n24				WP_096686505.1	WP_096686505.1		
N5.HOG0000033	OG0000002	n25				WP_096688788.1	WP_096688788.1		
N5.HOG0000034	OG0000002	n26				WP_096691327.1	WP_096691327.1		
N5.HOG0000035	OG0000002	n31				WP_096691159.1	WP_096691159.1		
N5.HOG0000036	OG0000002	n35				WP_096693625.1	WP_096693625.1		
N5.HOG0000037	OG0000002	n52				WP_096684085.1	WP_096684085.1		
N5.HOG0000038	OG0000002	n54				WP_096691780.1	WP_096691780.1		
N5.HOG0000039	OG0000003	n1				WP_096683788.1	WP_096683788.1		
N5.HOG0000040	OG0000003	n8				WP_096688734.1	WP_096688734.1		
N5.HOG0000041	OG0000003	n13				WP_096684114.1	WP_096684114.1		
N5.HOG0000042	OG0000003	n18				WP_096692517.1	WP_096692517.1		
N5.HOG0000043	OG0000003	n28				WP_096692183.1	WP_096692183.1		
N5.HOG0000044	OG0000003	n34				WP_096688721.1	WP_096688721.1		
N5.HOG0000045	OG0000003	n38				WP_096691414.1	WP_096691414.1		
N5.HOG0000046	OG0000003	n41				WP_096686959.1	WP_096686959.1		
N5.HOG0000047	OG0000003	n45				WP_096686158.1	WP_096686158.1		
N5.HOG0000048	OG0000003	n48				WP_096689518.1	WP_096689518.1		
N5.HOG0000049	OG0000003	n51				WP_096692197.1	WP_096692197.1		
N5.HOG0000050	OG0000003	n56				WP_096688649.1	WP_096688649.1		
N5.HOG0000051	OG0000003	n57				WP_096685969.1	WP_096685969.1		
N5.HOG0000052	OG0000004	n2				WP_096684087.1	WP_096684087.1		
N5.HOG0000053	OG0000004	n26				WP_096692752.1	WP_096692752.1		
N5.HOG0000054	OG0000004	n28				WP_096686836.1	WP_096686836.1		
N5.HOG0000055	OG0000004	n33				WP_096684612.1	WP_096684612.1		
N5.HOG0000056	OG0000004	n35				WP_096688735.1	WP_096688735.1		
N5.HOG0000057	OG0000004	n41				WP_096691937.1	WP_096691937.1		
N5.HOG0000058	OG0000004	n47				WP_096689080.1	WP_096689080.1		
N5.HOG0000059	OG0000004	n53				WP_096691356.1	WP_096691356.1		
N5.HOG0000060	OG0000005	n4				WP_096687819.1	WP_096687819.1		
N5.HOG0000061	OG0000005	n9				WP_096690199.1	WP_096690199.1		
N5.HOG0000062	OG0000005	n13				WP_096690182.1	WP_096690182.1		
N5.HOG0000063	OG0000005	n15				WP_096685034.1	WP_096685034.1		
N5.HOG0000064	OG0000005	n19				WP_096690189.1	WP_096690189.1		
N5.HOG0000065	OG0000005	n20				WP_096690190.1	WP_096690190.1		
N5.HOG0000066	OG0000005	n22				WP_096690194.1	WP_096690194.1		
N5.HOG0000067	OG0000005	n29				WP_096685039.1	WP_096685039.1		
N5.HOG0000068	OG0000005	n30				WP_096687816.1	WP_096687816.1		
N5.HOG0000069	OG0000005	n37				WP_096684329.1	WP_096684329.1		
N5.HOG0000070	OG0000005	n40				WP_096685047.1	WP_096685047.1		
N5.HOG0000071	OG0000005	n45				WP_096729084.1	WP_096687815.1		
N5.HOG0000072	OG0000005	n47				WP_096685037.1	WP_096685037.1		
N5.HOG0000073	OG0000005	n50				WP_096687817.1	WP_096687817.1		
N5.HOG0000074	OG0000005	n53				WP_096685036.1	WP_096685036.1		
N5.HOG0000075	OG0000005	n54				WP_096685046.1	WP_096685046.1		
N5.HOG0000076	OG0000006	n10				WP_096692265.1	WP_096692265.1		
N5.HOG0000077	OG0000006	n12				WP_096695216.1	WP_096695216.1		
N5.HOG0000078	OG0000006	n17				WP_096687971.1	WP_096687971.1		
N5.HOG0000079	OG0000006	n21				WP_096688995.1	WP_096688995.1		
N5.HOG0000080	OG0000006	n32				WP_096684079.1	WP_096684079.1		
N5.HOG0000081	OG0000006	n33				WP_096694259.1	WP_096694259.1		
N5.HOG0000082	OG0000006	n38				WP_096689394.1	WP_096689394.1		
N5.HOG0000083	OG0000006	n39				WP_096689393.1	WP_096689393.1		
N5.HOG0000084	OG0000006	n46				WP_096693503.1	WP_096693503.1		
N5.HOG0000085	OG0000007	n3				WP_096692877.1	WP_096692877.1		
