HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N0.HOG0000000	OG0000000	n2				WP_096691415.1	WP_096691415.1	WP_158333121.1	WP_224177576.1
N0.HOG0000001	OG0000000	n9		WP_096660904.1, WP_096654009.1, WP_096653450.1, WP_096653424.1		WP_096686963.1, WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1	WP_096686963.1, WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1		WP_224179203.1
N0.HOG0000002	OG0000000	n23		WP_096657186.1, WP_096657180.1					WP_224175600.1
N0.HOG0000003	OG0000000	n25				WP_096694962.1	WP_096694962.1		
N0.HOG0000004	OG0000000	n28				WP_096688648.1, WP_096688641.1, WP_096683928.1	WP_096688648.1, WP_096688641.1, WP_096683928.1		WP_224179064.1
N0.HOG0000005	OG0000000	n38		WP_096658329.1, WP_096658193.1	WP_157780631.1			WP_015197334.1, WP_015199074.1	WP_224178259.1, WP_224177443.1
N0.HOG0000006	OG0000000	n44		WP_096653841.1, WP_096653845.1		WP_096694864.1, WP_096729073.1	WP_096694864.1, WP_096686957.1	WP_158333186.1	WP_224174915.1
N0.HOG0000007	OG0000000	n52		WP_096657200.1, WP_096653403.1				WP_158333138.1	WP_224177575.1, WP_224179747.1
N0.HOG0000008	OG0000000	n56		WP_096653827.1		WP_096694731.1, WP_096683874.1	WP_096694731.1, WP_096683874.1		WP_224180145.1, WP_224180143.1, WP_224180144.1, WP_224180370.1, WP_224180368.1, WP_224180142.1
N0.HOG0000009	OG0000000	n66			WP_096624318.1, WP_096624714.1	WP_096685762.1	WP_096685762.1	WP_015198594.1, WP_015195831.1, WP_015199418.1, WP_015196614.1, WP_015195832.1	WP_224177376.1, WP_224174806.1
N0.HOG0000010	OG0000000	n76			WP_096622998.1			WP_015200893.1	WP_224176472.1, WP_224174571.1, WP_224174543.1, WP_224174536.1, WP_224180267.1
N0.HOG0000011	OG0000001	n2	WP_035154631.1	WP_096653644.1		WP_096691420.1	WP_096691420.1	WP_015196065.1	
N0.HOG0000012	OG0000001	n6		WP_096656630.1		WP_096691449.1, WP_096694257.1	WP_096691449.1, WP_096694257.1		WP_224177748.1
N0.HOG0000013	OG0000001	n12		WP_096657175.1		WP_096683859.1	WP_096683859.1	WP_015197900.1	WP_224178202.1, WP_224175595.1
N0.HOG0000014	OG0000001	n21	WP_035152352.1			WP_096691166.1, WP_096690151.1	WP_096691166.1, WP_096690151.1	WP_015197065.1	WP_224178561.1, WP_224175956.1, WP_224177667.1, WP_224180518.1, WP_224177666.1
N0.HOG0000015	OG0000001	n31	WP_035154182.1			WP_096684244.1	WP_096684244.1		
N0.HOG0000016	OG0000001	n34		WP_096658552.1, WP_096657544.1				WP_015198767.1	
N0.HOG0000017	OG0000001	n38	WP_035156271.1			WP_096689525.1	WP_096689525.1		
N0.HOG0000018	OG0000001	n42	WP_035158622.1					WP_015195938.1	WP_224177809.1
N0.HOG0000019	OG0000001	n44	WP_035151011.1			WP_096688982.1	WP_096688982.1		WP_223991133.1
N0.HOG0000020	OG0000001	n49				WP_096683883.1, WP_096685148.1	WP_096683883.1, WP_096685148.1		WP_223978715.1
N0.HOG0000021	OG0000001	n56		WP_096655678.1		WP_096693914.1	WP_096693914.1		
N0.HOG0000022	OG0000001	n58		WP_096657548.1		WP_096686922.1	WP_096686922.1		WP_223984851.1
N0.HOG0000023	OG0000001	n61	WP_035157650.1		WP_096623216.1	WP_096691299.1	WP_096691299.1	WP_015198359.1	WP_223982352.1
N0.HOG0000024	OG0000002	n2				WP_096687611.1	WP_096687611.1		
N0.HOG0000025	OG0000002	n4	WP_035155186.1		WP_096619979.1	WP_096688256.1	WP_096688256.1		WP_224175340.1, WP_224174840.1
N0.HOG0000026	OG0000002	n10	WP_035158075.1	WP_096661339.1					
N0.HOG0000027	OG0000002	n12	WP_035157202.1	WP_096660298.1	WP_096620493.1	WP_096686563.1	WP_096686563.1		WP_223984502.1, WP_224173959.1
N0.HOG0000028	OG0000002	n21	WP_035151530.1			WP_096686505.1, WP_096688788.1	WP_096686505.1, WP_096688788.1		WP_224178719.1
N0.HOG0000029	OG0000002	n26	WP_238178433.1			WP_096691327.1	WP_096691327.1		WP_224177287.1
N0.HOG0000030	OG0000002	n30		WP_096657794.1					WP_224179034.1
N0.HOG0000031	OG0000002	n31		WP_096652452.1		WP_096691159.1	WP_096691159.1		WP_224177831.1
N0.HOG0000032	OG0000002	n35		WP_096656327.1		WP_096693625.1	WP_096693625.1		WP_224176191.1
N0.HOG0000033	OG0000002	n38	WP_035150530.1, WP_035150532.1, WP_052754386.1	WP_096655512.1, WP_096660494.1	WP_255408935.1				WP_224178544.1, WP_224178464.1
N0.HOG0000034	OG0000002	n46		WP_096655514.1, WP_096655510.1, WP_096658189.1					
N0.HOG0000035	OG0000002	n49	WP_035158076.1, WP_035153718.1			WP_096684085.1, WP_096691780.1	WP_096684085.1, WP_096691780.1		WP_224174169.1, WP_224179024.1
N0.HOG0000036	OG0000002	n57	WP_035149608.1, WP_035159019.1						WP_224179044.1
N0.HOG0000037	OG0000002	n59	WP_035153701.1		WP_096621071.1				WP_224179036.1
N0.HOG0000038	OG0000003	n1	WP_035149728.1	WP_096656499.1	WP_096624436.1	WP_096683788.1	WP_096683788.1	WP_015199109.1	WP_224179040.1
N0.HOG0000039	OG0000003	n8		WP_096653369.1		WP_096688734.1	WP_096688734.1		WP_224178517.1
N0.HOG0000040	OG0000003	n13			WP_172892743.1	WP_096684114.1	WP_096684114.1	WP_015199707.1	WP_224175572.1
N0.HOG0000041	OG0000003	n18		WP_096656320.1		WP_096692517.1	WP_096692517.1		WP_224176775.1
N0.HOG0000042	OG0000003	n23	WP_046814870.1	WP_096653454.1	WP_096624350.1, WP_096620816.1	WP_096692183.1	WP_096692183.1	WP_068972683.1	WP_224177433.1, WP_224176913.1
N0.HOG0000043	OG0000003	n32		WP_096658590.1		WP_096688721.1, WP_096691414.1, WP_096686959.1	WP_096688721.1, WP_096691414.1, WP_096686959.1	WP_015200453.1, WP_144050988.1	WP_224179342.1, WP_224178320.1
N0.HOG0000044	OG0000003	n45		WP_096654017.1		WP_096686158.1	WP_096686158.1		WP_223978358.1
N0.HOG0000045	OG0000003	n48	WP_046814992.1			WP_096689518.1	WP_096689518.1		WP_224179529.1
N0.HOG0000046	OG0000003	n51				WP_096692197.1	WP_096692197.1		WP_224179201.1
N0.HOG0000047	OG0000003	n53		WP_096660903.1		WP_096688649.1, WP_096685969.1	WP_096688649.1, WP_096685969.1		WP_224179053.1
N0.HOG0000048	OG0000003	n58		WP_096657190.1, WP_096657181.1					WP_223978311.1
N0.HOG0000049	OG0000004	n2				WP_096684087.1	WP_096684087.1		
N0.HOG0000050	OG0000004	n4	WP_035149736.1		WP_096624430.1			WP_015199106.1	WP_224179043.1
N0.HOG0000051	OG0000004	n8		WP_096655677.1	WP_096621362.1				
N0.HOG0000052	OG0000004	n12		WP_096654186.1					WP_224179645.1
N0.HOG0000053	OG0000004	n13		WP_096656326.1, WP_096655508.1	WP_096623218.1, WP_096625351.1, WP_096623006.1, WP_096622130.1, WP_096621360.1			WP_015197258.1, WP_015200354.1	WP_255667719.1, WP_224179607.1
N0.HOG0000054	OG0000004	n25				WP_096692752.1, WP_096686836.1	WP_096692752.1, WP_096686836.1		WP_223977677.1, WP_224175591.1, WP_224176524.1, WP_224178506.1
N0.HOG0000055	OG0000004	n33				WP_096684612.1	WP_096684612.1		
N0.HOG0000056	OG0000004	n35		WP_096653363.1		WP_096688735.1	WP_096688735.1		WP_223983838.1
N0.HOG0000057	OG0000004	n41	WP_046814782.1	WP_096652182.1	WP_096625701.1	WP_096691937.1	WP_096691937.1	WP_015198912.1	WP_224177416.1
N0.HOG0000058	OG0000004	n47		WP_096660893.1	WP_096625140.1	WP_096689080.1	WP_096689080.1	WP_015199222.1	WP_223986442.1, WP_223978756.1
N0.HOG0000059	OG0000004	n53				WP_096691356.1	WP_096691356.1		WP_224177273.1
N0.HOG0000060	OG0000005	n1	WP_035152711.1	WP_096654059.1		WP_096687819.1, WP_096690199.1, WP_096690182.1, WP_096685034.1, WP_096690189.1, WP_096690190.1	WP_096687819.1, WP_096690199.1, WP_096690182.1, WP_096685034.1, WP_096690189.1, WP_096690190.1	WP_015198212.1, WP_015198216.1	WP_224178267.1, WP_224178281.1, WP_224178312.1, WP_224178319.1, WP_224178285.1
N0.HOG0000061	OG0000005	n22				WP_096690194.1	WP_096690194.1		
N0.HOG0000062	OG0000005	n24	WP_052754440.1					WP_015198215.1	WP_224178279.1
N0.HOG0000063	OG0000005	n27	WP_052754441.1	WP_096654105.1		WP_096685039.1, WP_096687816.1	WP_096685039.1, WP_096687816.1	WP_015198217.1	
N0.HOG0000064	OG0000005	n33		WP_096654107.1, WP_096654063.1, WP_096654061.1, WP_096654073.1		WP_096684329.1, WP_096685047.1, WP_096729084.1, WP_096685037.1, WP_096687817.1, WP_096685036.1, WP_096685046.1	WP_096684329.1, WP_096685047.1, WP_096687815.1, WP_096685037.1, WP_096687817.1, WP_096685036.1, WP_096685046.1	WP_015198218.1, WP_015198221.1	WP_224176033.1, WP_224174967.1, WP_224178275.1
N0.HOG0000065	OG0000006	n5						WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1	
N0.HOG0000066	OG0000006	n10	WP_035149278.1			WP_096692265.1	WP_096692265.1		
N0.HOG0000067	OG0000006	n12	WP_035149271.1	WP_096660235.1		WP_096695216.1	WP_096695216.1		
N0.HOG0000068	OG0000006	n17				WP_096687971.1	WP_096687971.1		WP_224177698.1, WP_224174196.1
N0.HOG0000069	OG0000006	n21				WP_096688995.1	WP_096688995.1		
N0.HOG0000070	OG0000006	n25	WP_238178524.1	WP_096658527.1					WP_224177583.1
N0.HOG0000071	OG0000006	n27	WP_046814770.1						WP_224177589.1
N0.HOG0000072	OG0000006	n28							WP_224178326.1, WP_224178857.1
N0.HOG0000073	OG0000006	n29	WP_035150503.1	WP_096661010.1		WP_096684079.1, WP_096694259.1	WP_096684079.1, WP_096694259.1		
N0.HOG0000074	OG0000006	n35		WP_096656254.1		WP_096689394.1, WP_096689393.1	WP_096689394.1, WP_096689393.1	WP_015195855.1	
N0.HOG0000075	OG0000006	n40		WP_096661125.1				WP_015197438.1, WP_015196927.1, WP_015199014.1, WP_015198729.1	
N0.HOG0000076	OG0000006	n45	WP_035154243.1					WP_015197198.1	
N0.HOG0000077	OG0000006	n46	WP_035153047.1	WP_096654901.1		WP_096693503.1	WP_096693503.1	WP_015199356.1	WP_223978743.1
N0.HOG0000078	OG0000007	n3		WP_096658586.1		WP_096692877.1	WP_096692877.1	WP_015199497.1	WP_224176367.1
N0.HOG0000079	OG0000007	n8				WP_096686951.1, WP_096692008.1	WP_096686951.1, WP_096692008.1		
N0.HOG0000080	OG0000007	n12				WP_096689422.1	WP_096689422.1		
N0.HOG0000081	OG0000007	n16	WP_035150919.1			WP_096684672.1	WP_096684672.1		WP_223978130.1
N0.HOG0000082	OG0000007	n19	WP_035159892.1						WP_224179550.1
