HOG	OG	Gene Tree Parent Clade	336-3	NIES-267	NIES-3974	NIES-4071	NIES-4105	PCC_6303	PCC_7716
N3.HOG0000000	OG0000000	n2				WP_096691415.1	WP_096691415.1	WP_158333121.1	WP_224177576.1
N3.HOG0000001	OG0000000	n9				WP_096686963.1, WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1	WP_096686963.1, WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1		WP_224179203.1
N3.HOG0000002	OG0000000	n23							WP_224175600.1
N3.HOG0000003	OG0000000	n25				WP_096694962.1	WP_096694962.1		
N3.HOG0000004	OG0000000	n28				WP_096688648.1, WP_096688641.1, WP_096683928.1	WP_096688648.1, WP_096688641.1, WP_096683928.1		WP_224179064.1
N3.HOG0000005	OG0000000	n38						WP_015197334.1, WP_015199074.1	WP_224178259.1, WP_224177443.1
N3.HOG0000006	OG0000000	n44				WP_096694864.1, WP_096729073.1	WP_096694864.1, WP_096686957.1	WP_158333186.1	WP_224174915.1
N3.HOG0000007	OG0000000	n52						WP_158333138.1	WP_224177575.1, WP_224179747.1
N3.HOG0000008	OG0000000	n56				WP_096694731.1, WP_096683874.1	WP_096694731.1, WP_096683874.1		WP_224180145.1, WP_224180143.1, WP_224180144.1, WP_224180370.1, WP_224180368.1, WP_224180142.1
N3.HOG0000009	OG0000000	n67				WP_096685762.1	WP_096685762.1		
N3.HOG0000010	OG0000000	n69						WP_015198594.1, WP_015195831.1, WP_015199418.1, WP_015196614.1	WP_224177376.1
N3.HOG0000011	OG0000000	n74						WP_015195832.1	WP_224174806.1
N3.HOG0000012	OG0000000	n76						WP_015200893.1	WP_224176472.1, WP_224174571.1, WP_224174543.1, WP_224174536.1, WP_224180267.1
N3.HOG0000013	OG0000001	n2				WP_096691420.1	WP_096691420.1	WP_015196065.1	
N3.HOG0000014	OG0000001	n6				WP_096691449.1, WP_096694257.1	WP_096691449.1, WP_096694257.1		WP_224177748.1
N3.HOG0000015	OG0000001	n12				WP_096683859.1	WP_096683859.1	WP_015197900.1	WP_224178202.1, WP_224175595.1
N3.HOG0000016	OG0000001	n21				WP_096691166.1, WP_096690151.1	WP_096691166.1, WP_096690151.1	WP_015197065.1	WP_224178561.1, WP_224175956.1, WP_224177667.1, WP_224180518.1, WP_224177666.1
N3.HOG0000017	OG0000001	n31				WP_096684244.1	WP_096684244.1		
N3.HOG0000018	OG0000001	n34						WP_015198767.1	
N3.HOG0000019	OG0000001	n38				WP_096689525.1	WP_096689525.1		
N3.HOG0000020	OG0000001	n42						WP_015195938.1	WP_224177809.1
N3.HOG0000021	OG0000001	n44				WP_096688982.1	WP_096688982.1		WP_223991133.1
N3.HOG0000022	OG0000001	n49				WP_096683883.1, WP_096685148.1	WP_096683883.1, WP_096685148.1		WP_223978715.1
N3.HOG0000023	OG0000001	n56				WP_096693914.1	WP_096693914.1		
N3.HOG0000024	OG0000001	n58				WP_096686922.1	WP_096686922.1		WP_223984851.1
N3.HOG0000025	OG0000001	n61				WP_096691299.1	WP_096691299.1	WP_015198359.1	WP_223982352.1
N3.HOG0000026	OG0000002	n2				WP_096687611.1	WP_096687611.1		
N3.HOG0000027	OG0000002	n4				WP_096688256.1	WP_096688256.1		WP_224175340.1, WP_224174840.1
N3.HOG0000028	OG0000002	n12				WP_096686563.1	WP_096686563.1		WP_223984502.1, WP_224173959.1
N3.HOG0000029	OG0000002	n21				WP_096686505.1, WP_096688788.1	WP_096686505.1, WP_096688788.1		WP_224178719.1
N3.HOG0000030	OG0000002	n26				WP_096691327.1	WP_096691327.1		WP_224177287.1
N3.HOG0000031	OG0000002	n30							WP_224179034.1
N3.HOG0000032	OG0000002	n31				WP_096691159.1	WP_096691159.1		WP_224177831.1
N3.HOG0000033	OG0000002	n35				WP_096693625.1	WP_096693625.1		WP_224176191.1
N3.HOG0000034	OG0000002	n38							WP_224178544.1, WP_224178464.1
N3.HOG0000035	OG0000002	n49				WP_096684085.1, WP_096691780.1	WP_096684085.1, WP_096691780.1		WP_224174169.1, WP_224179024.1
N3.HOG0000036	OG0000002	n57							WP_224179044.1
N3.HOG0000037	OG0000002	n59							WP_224179036.1
N3.HOG0000038	OG0000003	n1				WP_096683788.1	WP_096683788.1	WP_015199109.1	WP_224179040.1
N3.HOG0000039	OG0000003	n8				WP_096688734.1	WP_096688734.1		WP_224178517.1
N3.HOG0000040	OG0000003	n13				WP_096684114.1	WP_096684114.1	WP_015199707.1	WP_224175572.1
N3.HOG0000041	OG0000003	n18				WP_096692517.1	WP_096692517.1		WP_224176775.1
N3.HOG0000042	OG0000003	n24						WP_068972683.1	WP_224177433.1
N3.HOG0000043	OG0000003	n28				WP_096692183.1	WP_096692183.1		WP_224176913.1
N3.HOG0000044	OG0000003	n34				WP_096688721.1	WP_096688721.1	WP_015200453.1	WP_224179342.1
N3.HOG0000045	OG0000003	n38				WP_096691414.1	WP_096691414.1	WP_144050988.1	WP_224178320.1
