Orthogroup	NIES-3974	NIES-267
OG0000000	WP_157780833.1	WP_096660904.1, WP_096654009.1, WP_096653450.1, WP_096653424.1, WP_096657186.1, WP_096657180.1
OG0000000	WP_157780631.1	WP_096658329.1, WP_096658193.1
OG0000002	WP_096620493.1	WP_096660298.1
OG0000002	WP_255408935.1	WP_096655512.1, WP_096660494.1
OG0000002	WP_096621071.1	WP_096655514.1, WP_096655510.1, WP_096658189.1
OG0000003	WP_096624436.1	WP_096656499.1
OG0000003	WP_096624350.1	WP_096653454.1
OG0000004	WP_096621362.1	WP_096655677.1
OG0000004	WP_096623218.1, WP_096625351.1, WP_096623006.1, WP_096622130.1, WP_096621360.1	WP_096656326.1, WP_096655508.1
OG0000004	WP_096625701.1	WP_096652182.1
OG0000004	WP_096625140.1	WP_096660893.1
OG0000006	WP_096625466.1	WP_096653525.1, WP_096660235.1, WP_096658527.1, WP_096661010.1, WP_096656254.1, WP_096661125.1
OG0000007	WP_231943311.1	WP_096658586.1, WP_096658988.1, WP_096653989.1, WP_096660909.1, WP_096656853.1
OG0000008	WP_096621553.1	WP_096661690.1
OG0000008	WP_096622727.1	WP_096657805.1
OG0000008	WP_096621251.1	WP_096658046.1, WP_096655801.1
OG0000008	WP_096622200.1	WP_096653676.1
OG0000009	WP_096626506.1	WP_096656824.1, WP_096660236.1, WP_096656216.1, WP_096657270.1, WP_096657269.1, WP_096652456.1, WP_096656771.1, WP_096655133.1, WP_096656848.1, WP_096655273.1
OG0000010	WP_096626149.1	WP_096660681.1
OG0000010	WP_096621758.1	WP_096659319.1, WP_096660859.1
OG0000011	WP_096623713.1	WP_096657359.1
OG0000011	WP_096621391.1	WP_096660861.1
OG0000011	WP_096625956.1	WP_096657163.1
OG0000013	WP_096621104.1	WP_096656846.1
OG0000014	WP_231943204.1	WP_096654934.1
OG0000014	WP_096622106.1	WP_096655768.1
OG0000015	WP_096620151.1, WP_096620150.1, WP_096621610.1, WP_096621608.1, WP_096621607.1, WP_096620152.1	WP_096653436.1, WP_096653434.1, WP_096653432.1
OG0000016	WP_096620459.1	WP_096657937.1
OG0000016	WP_096622633.1	WP_096657815.1
OG0000016	WP_096623392.1	WP_096654031.1
OG0000017	WP_197707080.1	WP_096660654.1
OG0000018	WP_096625703.1	WP_096652185.1
OG0000019	WP_096621513.1	WP_096656731.1, WP_096656732.1, WP_096661294.1
OG0000020	WP_096623433.1	WP_096660831.1
OG0000022	WP_231943158.1	WP_096659691.1
OG0000022	WP_231943097.1	WP_096653505.1, WP_096661102.1, WP_096661103.1, WP_096661123.1
OG0000023	WP_096621655.1	WP_096660121.1
OG0000023	WP_096622279.1	WP_096660125.1
OG0000024	WP_157780795.1	WP_096657601.1, WP_096657196.1
OG0000025	WP_255408932.1	WP_096657986.1
OG0000026	WP_096621069.1	WP_096656912.1
OG0000026	WP_096620791.1	WP_096658606.1
OG0000026	WP_096622687.1, WP_096620792.1	WP_096658601.1
OG0000027	WP_096622354.1, WP_096622359.1	WP_096658131.1
OG0000028	WP_096620975.1	WP_096656440.1
OG0000028	WP_096620976.1	WP_096652741.1
OG0000028	WP_096620048.1	WP_096660026.1
OG0000029	WP_096620241.1	WP_096653813.1
OG0000031	WP_231943126.1	WP_096652469.1
OG0000031	WP_096624549.1	WP_096652420.1
OG0000032	WP_096623503.1	WP_096658447.1
OG0000033	WP_096624646.1	WP_096657665.1
OG0000033	WP_096624648.1	WP_096657667.1, WP_096657666.1
OG0000034	WP_231943216.1, WP_172892785.1, WP_157780835.1, WP_096623473.1	WP_096656433.1
OG0000035	WP_096623174.1	WP_096655613.1
OG0000035	WP_096624093.1	WP_096653492.1
OG0000036	WP_096622408.1	WP_096661437.1, WP_096661197.1, WP_096657399.1
OG0000037	WP_096621017.1	WP_096655191.1
OG0000037	WP_096621134.1	WP_096660173.1
OG0000038	WP_231943206.1	WP_096657945.1
OG0000039	WP_096624553.1	WP_096652473.1
OG0000041	WP_096621846.1	WP_096656191.1, WP_096653546.1
OG0000042	WP_096621392.1	WP_096655773.1, WP_096657061.1
OG0000043	WP_096625205.1, WP_096621522.1, WP_096620513.1	WP_096652188.1
OG0000044	WP_096625420.1	WP_096660060.1
OG0000044	WP_096620625.1	WP_096658177.1, WP_096657442.1, WP_096658299.1, WP_096659889.1, WP_096658176.1, WP_096661316.1
OG0000045	WP_096620277.1	WP_096657107.1
OG0000048	WP_096625544.1	WP_096660895.1
OG0000048	WP_096620244.1	WP_096661291.1
OG0000049	WP_096626595.1	WP_096659840.1
OG0000049	WP_096626095.1	WP_096659131.1
OG0000050	WP_096624340.1	WP_096661052.1
OG0000050	WP_096622068.1	WP_096657974.1
OG0000051	WP_096622578.1	WP_096653108.1, WP_096653110.1, WP_096657423.1
OG0000051	WP_096622425.1, WP_096623543.1	WP_096660648.1
OG0000052	WP_096624554.1	WP_096652475.1
OG0000054	WP_096624463.1	WP_096654013.1
OG0000054	WP_096620296.1, WP_096620297.1	WP_096659976.1
OG0000059	WP_096623487.1	WP_096658123.1
OG0000059	WP_096620831.1	WP_096654212.1
OG0000059	WP_096622598.1	WP_096656432.1
OG0000060	WP_096624551.1	WP_096652471.1
OG0000061	WP_096621661.1	WP_096660118.1
OG0000062	WP_096621760.1	WP_096655439.1
OG0000063	WP_096620481.1	WP_096659607.1, WP_096654627.1, WP_096654625.1
OG0000064	WP_096622204.1	WP_096659195.1
OG0000064	WP_096622709.1	WP_096658398.1
OG0000065	WP_096621406.1, WP_096622532.1	WP_096656802.1
OG0000066	WP_096620160.1	WP_096657598.1
OG0000067	WP_096621952.1	WP_096653265.1
OG0000067	WP_172892767.1	WP_096655480.1, WP_096656459.1
OG0000067	WP_096621262.1	WP_096653285.1
OG0000068	WP_096620794.1	WP_096657151.1, WP_096658603.1
OG0000070	WP_096622282.1	WP_096655151.1
OG0000071	WP_096620314.1	WP_096659081.1
OG0000073	WP_096621235.1	WP_096655875.1, WP_096655868.1
OG0000073	WP_096620618.1	WP_096660052.1
OG0000074	WP_096624606.1	WP_096660868.1, WP_096661319.1, WP_096659818.1, WP_096659820.1, WP_096653517.1
OG0000075	WP_096622487.1	WP_096655940.1
OG0000075	WP_096624438.1	WP_096659751.1
OG0000075	WP_096622962.1	WP_096658281.1
OG0000077	WP_096623940.1	WP_096657418.1, WP_096661511.1
OG0000078	WP_096625284.1	WP_096656165.1
OG0000078	WP_096624003.1	WP_096660375.1
OG0000079	WP_096624660.1	WP_096655917.1
OG0000079	WP_096624503.1	WP_096657592.1
OG0000081	WP_096625434.1	WP_096661563.1
OG0000082	WP_096621331.1	WP_096656422.1
OG0000083	WP_096626463.1	WP_096659747.1
OG0000084	WP_096622486.1, WP_096622456.1	WP_096660492.1
OG0000085	WP_096620210.1, WP_255408806.1	WP_096656789.1
OG0000086	WP_096620239.1	WP_096652877.1
OG0000086	WP_096620606.1	WP_096658312.1
OG0000087	WP_096622822.1	WP_096654478.1
OG0000088	WP_096625817.1	WP_096660004.1
OG0000089	WP_096623545.1	WP_096660027.1
OG0000089	WP_096624848.1	WP_096661166.1
OG0000091	WP_096625097.1	WP_096655404.1, WP_096657534.1, WP_096658671.1, WP_096657289.1, WP_096661523.1
OG0000092	WP_096620037.1	WP_096657568.1
OG0000093	WP_157780825.1	WP_096653106.1, WP_096659853.1, WP_096661655.1, WP_096657440.1, WP_096659047.1
OG0000094	WP_096620254.1	WP_096657013.1
OG0000094	WP_231943192.1	WP_096657014.1
OG0000095	WP_096623830.1	WP_096656284.1
OG0000095	WP_096621054.1	WP_096660174.1, WP_096656614.1
OG0000097	WP_096621423.1	WP_096659786.1
OG0000099	WP_096621280.1	WP_096660421.1
OG0000099	WP_096621192.1	WP_096652393.1
OG0000101	WP_096620021.1	WP_096655901.1
OG0000102	WP_096622992.1	WP_096658580.1
OG0000102	WP_096622960.1	WP_096658557.1
OG0000103	WP_096621375.1	WP_096656066.1, WP_096655482.1, WP_096655698.1
OG0000104	WP_096626371.1	WP_096654343.1
OG0000106	WP_096621683.1, WP_096622509.1	WP_096652533.1
OG0000113	WP_096622352.1	WP_096656098.1
OG0000113	WP_096621772.1	WP_096657737.1, WP_096658278.1, WP_096660841.1
OG0000114	WP_096624298.1	WP_096653446.1
OG0000116	WP_096620836.1	WP_096659345.1
OG0000117	WP_197707058.1	WP_096661474.1, WP_096657746.1, WP_096659171.1
OG0000118	WP_096623711.1	WP_096652293.1
OG0000118	WP_096622402.1, WP_096623048.1	WP_096652879.1
OG0000121	WP_096620834.1	WP_096657299.1
OG0000122	WP_096625124.1	WP_096654977.1, WP_096654967.1
OG0000123	WP_231943094.1	WP_096660972.1
OG0000124	WP_096624286.1, WP_231943344.1, WP_096623126.1	WP_096660214.1
OG0000125	WP_096622022.1	WP_096658147.1
OG0000125	WP_096626572.1	WP_096659768.1, WP_096659770.1, WP_096659329.1, WP_096659891.1
OG0000126	WP_096621256.1, WP_096621975.1	WP_096658573.1
OG0000127	WP_096621233.1	WP_096655870.1, WP_096655877.1
OG0000129	WP_096623246.1	WP_096654989.1
OG0000129	WP_231943293.1	WP_096654983.1
OG0000129	WP_096621197.1	WP_096659720.1
OG0000130	WP_096621196.1	WP_015122646.1
OG0000130	WP_096624781.1	WP_096654361.1
OG0000131	WP_096620458.1	WP_096657940.1
OG0000131	WP_096623581.1	WP_096653733.1
OG0000132	WP_096624165.1	WP_096656293.1
OG0000133	WP_096624083.1, WP_096622409.1	WP_096661680.1
OG0000133	WP_096622603.1	WP_096655898.1
OG0000134	WP_096623439.1	WP_096659609.1
OG0000137	WP_096621297.1	WP_096653731.1, WP_096653486.1, WP_096658837.1, WP_096654134.1
OG0000139	WP_096625426.1	WP_096654753.1
OG0000139	WP_096620487.1	WP_096652458.1
OG0000140	WP_096622996.1	WP_096658661.1, WP_096658617.1
OG0000143	WP_096620893.1	WP_096656311.1
OG0000144	WP_096622350.1	WP_096656097.1
OG0000144	WP_096621774.1	WP_096660842.1, WP_096658279.1
OG0000148	WP_096625565.1	WP_096654001.1
OG0000154	WP_096621068.1	WP_096660264.1, WP_096655958.1, WP_096653743.1, WP_096652324.1, WP_096657542.1
OG0000155	WP_096625126.1	WP_096654975.1
OG0000155	WP_096625128.1	WP_096654965.1
OG0000156	WP_231943257.1	WP_096655486.1
OG0000157	WP_096621540.1	WP_096658183.1
OG0000158	WP_096621098.1	WP_096656055.1, WP_096655837.1, WP_096655841.1
OG0000158	WP_231943138.1	WP_096654476.1
OG0000161	WP_096623100.1	WP_096658105.1
OG0000163	WP_231943091.1, WP_231943211.1	WP_096657887.1
OG0000164	WP_096620727.1, WP_231943175.1	WP_096660268.1
OG0000164	WP_231943165.1	WP_096654269.1
OG0000165	WP_096620302.1	WP_096659619.1
OG0000166	WP_096626077.1	WP_096655032.1
OG0000166	WP_096619833.1	WP_096654271.1
OG0000176	WP_096622892.1	WP_096660706.1
OG0000176	WP_096620468.1	WP_096658304.1
OG0000178	WP_096620278.1	WP_096653930.1
OG0000178	WP_197707035.1	WP_096661208.1
OG0000180	WP_096621558.1	WP_096655675.1
OG0000180	WP_096626337.1	WP_096655905.1
OG0000181	WP_096622291.1	WP_096652246.1
OG0000182	WP_096624805.1	WP_096656468.1
OG0000183	WP_096624562.1	WP_096657059.1
OG0000185	WP_096620328.1	WP_096652395.1, WP_096652737.1, WP_096655972.1, WP_096659664.1
OG0000186	WP_096620944.1	WP_096660968.1
OG0000188	WP_096624103.1	WP_096657663.1
OG0000188	WP_096621579.1	WP_096656347.1
OG0000191	WP_096620643.1	WP_096652519.1
OG0000191	WP_096621000.1	WP_096657063.1
OG0000193	WP_096621107.1	WP_096656552.1
OG0000193	WP_096621806.1	WP_096656553.1, WP_096656554.1
OG0000194	WP_231943212.1	WP_096654940.1
OG0000195	WP_096620971.1	WP_096660243.1, WP_096656125.1
OG0000196	WP_096624644.1	WP_096657664.1
OG0000196	WP_096620750.1	WP_096657674.1
OG0000197	WP_096622533.1	WP_096656803.1
OG0000197	WP_096624487.1	WP_096660819.1
OG0000198	WP_096619837.1	WP_096653628.1
OG0000200	WP_096620602.1	WP_096653630.1
OG0000204	WP_096623418.1, WP_096623828.1	WP_096656283.1
OG0000206	WP_096620321.1, WP_096620320.1	WP_096654390.1
OG0000207	WP_096620344.1	WP_096661728.1
OG0000210	WP_096620058.1	WP_096656664.1, WP_096656270.1
OG0000211	WP_096620259.1	WP_096656768.1, WP_096657360.1
OG0000215	WP_096621946.1	WP_096658324.1, WP_096658348.1, WP_096654665.1
OG0000216	WP_096622565.1	WP_096659855.1
OG0000217	WP_096622537.1	WP_096655374.1
OG0000218	WP_231943054.1	WP_096660906.1
OG0000219	WP_096625615.1	WP_096656743.1
OG0000219	WP_096626562.1	WP_096657798.1
OG0000221	WP_096624302.1	WP_096653444.1
OG0000223	WP_096620479.1	WP_096654661.1
OG0000224	WP_096621358.1	WP_096659980.1
OG0000225	WP_096626193.1	WP_096660874.1
OG0000225	WP_096622468.1	WP_096660873.1
OG0000226	WP_096621732.1	WP_096659849.1
OG0000231	WP_096620045.1	WP_096659784.1
OG0000232	WP_096625114.1	WP_096656831.1
OG0000233	WP_096623565.1	WP_096657136.1
OG0000235	WP_096625232.1	WP_096656057.1
OG0000236	WP_096621907.1	WP_096656355.1
OG0000239	WP_096624985.1	WP_096652327.1
OG0000239	WP_096620494.1	WP_096657789.1
OG0000240	WP_096626189.1	WP_096658358.1
OG0000242	WP_096623794.1	WP_096655986.1
OG0000243	WP_096623665.1	WP_096652436.1
OG0000243	WP_096625448.1	WP_096657870.1
OG0000244	WP_096624652.1	WP_096652284.1, WP_096661206.1, WP_096658753.1
OG0000246	WP_096621239.1	WP_096655984.1, WP_096655582.1
OG0000249	WP_096624444.1, WP_255408929.1	WP_096655394.1
OG0000250	WP_096621865.1	WP_096652287.1
OG0000253	WP_096620410.1	WP_096656601.1
OG0000254	WP_096622099.1	WP_096657084.1
OG0000262	WP_096621998.1	WP_096655804.1, WP_096658330.1
OG0000263	WP_096620003.1	WP_096658018.1
OG0000265	WP_096625212.1	WP_096658085.1
OG0000266	WP_096620560.1, WP_096624258.1	WP_096654797.1
OG0000267	WP_096624434.1	WP_096656500.1
OG0000269	WP_096623637.1	WP_096660764.1
OG0000270	WP_096624049.1	WP_096655159.1
OG0000271	WP_096626261.1	WP_096652209.1
OG0000272	WP_096626263.1	WP_096652206.1
OG0000276	WP_096622102.1	WP_096656166.1
OG0000278	WP_096624839.1	WP_096653385.1, WP_096657809.1
OG0000279	WP_096625181.1	WP_096652409.1
OG0000279	WP_231943295.1	WP_096660612.1
OG0000282	WP_096620785.1	WP_096658612.1
OG0000282	WP_096620129.1	WP_096656652.1, WP_096660898.1
OG0000283	WP_096622721.1	WP_096656194.1
OG0000285	WP_096626270.1	WP_096656886.1
OG0000287	WP_096621708.1	WP_096656089.1
OG0000288	WP_096621603.1	WP_096652925.1
OG0000289	WP_096621385.1, WP_096621051.1	WP_096656466.1
OG0000290	WP_096624219.1	WP_096657121.1, WP_096654714.1
OG0000291	WP_096621973.1	WP_096654079.1
OG0000291	WP_096620551.1	WP_096657932.1
OG0000292	WP_096620736.1	WP_096656897.1
OG0000294	WP_096626187.1	WP_096656331.1
OG0000294	WP_096624628.1	WP_096656833.1
OG0000295	WP_096619907.1	WP_096655590.1
OG0000296	WP_096619905.1	WP_096655587.1
OG0000297	WP_096619903.1	WP_096655585.1
OG0000298	WP_096621193.1	WP_096659726.1
OG0000298	WP_096621224.1	WP_096654997.1
OG0000299	WP_096620072.1, WP_096621448.1	WP_096658319.1
OG0000301	WP_096623300.1	WP_096661149.1
OG0000302	WP_231943313.1	WP_096656825.1
OG0000304	WP_096621852.1	WP_096658349.1
OG0000305	WP_096622836.1	WP_096657038.1, WP_096653634.1
OG0000306	WP_096621877.1	WP_096658574.1
OG0000307	WP_096621099.1	WP_096656923.1
OG0000308	WP_096621967.1	WP_096654126.1
OG0000308	WP_096620508.1	WP_096654122.1, WP_096653771.1
OG0000311	WP_157780683.1	WP_096660938.1
OG0000313	WP_096622517.1	WP_096655583.1
OG0000314	WP_096625783.1, WP_096620317.1	WP_096660975.1
OG0000315	WP_096622326.1	WP_096658958.1
OG0000315	WP_157780797.1	WP_096661251.1
OG0000318	WP_231943454.1	WP_096656004.1
OG0000320	WP_096620580.1	WP_096656929.1
OG0000323	WP_231943164.1	WP_096660084.1
OG0000324	WP_096622888.1	WP_096661394.1
OG0000329	WP_096620916.1	WP_096652799.1
OG0000330	WP_231943103.1	WP_096655948.1
OG0000332	WP_096624460.1	WP_096658127.1
OG0000333	WP_096624057.1	WP_096656759.1
OG0000335	WP_096621116.1	WP_096657614.1, WP_096652321.1
OG0000336	WP_096625531.1	WP_096658998.1
OG0000337	WP_096625563.1	WP_096653656.1
OG0000341	WP_096624724.1	WP_096656121.1
OG0000342	WP_096619893.1	WP_096659153.1, WP_096660855.1
OG0000351	WP_096620872.1	WP_096661018.1
OG0000352	WP_231943044.1, WP_096625689.1	WP_096660294.1
OG0000353	WP_096624370.1	WP_096660020.1, WP_096661110.1
OG0000354	WP_096620947.1	WP_096658269.1
OG0000355	WP_096619889.1	WP_096656052.1
OG0000356	WP_096620534.1	WP_096654633.1
OG0000356	WP_096624061.1	WP_096655598.1
OG0000357	WP_096620531.1	WP_096659511.1
OG0000358	WP_096622793.1	WP_096656894.1
OG0000358	WP_096621284.1	WP_096660128.1
OG0000359	WP_096622055.1	WP_096658956.1
OG0000360	WP_096621857.1	WP_096652907.1
OG0000361	WP_096621397.1	WP_096652848.1
OG0000361	WP_096621015.1	WP_096656818.1
OG0000363	WP_096622453.1	WP_096658360.1, WP_096661323.1
OG0000365	WP_096621022.1	WP_096658091.1
