Orthogroup	NIES-3974	PCC_6303
OG0000000	WP_157780631.1	WP_015197334.1, WP_015199074.1
OG0000000	WP_096624318.1	WP_015198594.1, WP_015195831.1, WP_015199418.1, WP_015196614.1
OG0000000	WP_096624714.1	WP_015195832.1
OG0000000	WP_096622998.1	WP_015200893.1
OG0000001	WP_096623216.1	WP_015198359.1
OG0000003	WP_096624436.1	WP_015199109.1
OG0000003	WP_172892743.1	WP_015199707.1
OG0000003	WP_096624350.1	WP_068972683.1
OG0000004	WP_096624430.1	WP_015199106.1
OG0000004	WP_096625351.1	WP_015197258.1
OG0000004	WP_096623006.1	WP_015200354.1
OG0000004	WP_096625701.1	WP_015198912.1
OG0000004	WP_096625140.1	WP_015199222.1
OG0000006	WP_096625466.1	WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1, WP_015195855.1, WP_015197438.1, WP_015196927.1, WP_015199014.1, WP_015198729.1
OG0000007	WP_231943311.1	WP_015199497.1
OG0000008	WP_096621553.1	WP_015199589.1
OG0000008	WP_096622614.1, WP_096622613.1	WP_015195874.1
OG0000008	WP_096622727.1	WP_015196367.1, WP_015197278.1
OG0000008	WP_096621251.1	WP_015196884.1
OG0000008	WP_096622200.1	WP_015199688.1, WP_015199687.1
OG0000009	WP_096626506.1	WP_015200536.1, WP_015196938.1
OG0000010	WP_096626149.1	WP_015199610.1
OG0000010	WP_096621758.1	WP_015200344.1
OG0000011	WP_096623713.1	WP_015198485.1
OG0000011	WP_096620028.1	WP_015199293.1
OG0000014	WP_231943204.1	WP_015200405.1
OG0000016	WP_096620459.1	WP_015199431.1
OG0000016	WP_096622633.1	WP_015196780.1
OG0000017	WP_197707080.1	WP_015195951.1
OG0000017	WP_096620029.1	WP_015199294.1
OG0000018	WP_096625703.1	WP_015198913.1
OG0000018	WP_096625142.1	WP_015199223.1
OG0000018	WP_096623669.1, WP_096621361.1	WP_238993839.1
OG0000019	WP_096621513.1	WP_015197299.1
OG0000020	WP_096621290.1	WP_015173915.1
OG0000020	WP_096623433.1	WP_015198096.1
OG0000022	WP_231943158.1	WP_238993725.1
OG0000022	WP_231943097.1	WP_015197771.1, WP_041739801.1
OG0000023	WP_096620061.1	WP_144051023.1
OG0000023	WP_096622279.1, WP_096624602.1	WP_015198146.1
OG0000024	WP_157780795.1	WP_015200452.1, WP_041739807.1
OG0000026	WP_096620385.1, WP_096620791.1, WP_096622687.1, WP_096620792.1	WP_015200083.1
OG0000027	WP_096624584.1	WP_015197730.1
OG0000027	WP_231943400.1	WP_158333141.1
OG0000028	WP_096620975.1	WP_015199894.1
