Orthogroup	NIES-3974	NIES-4105
OG0000000	WP_157780833.1	WP_096686963.1, WP_096692195.1, WP_096686965.1, WP_096693593.1, WP_096694987.1
OG0000000	WP_096624318.1, WP_096624714.1	WP_096685762.1
OG0000001	WP_096623216.1	WP_096691299.1
OG0000002	WP_096619979.1	WP_096688256.1
OG0000002	WP_096620493.1	WP_096686563.1
OG0000003	WP_096624436.1	WP_096683788.1
OG0000003	WP_172892743.1	WP_096684114.1
OG0000003	WP_096620816.1	WP_096692183.1
OG0000004	WP_096624430.1, WP_096621362.1, WP_255408934.1, WP_096623218.1, WP_096625351.1, WP_096623006.1, WP_096622130.1, WP_096621360.1	WP_096684087.1
OG0000004	WP_096625701.1	WP_096691937.1
OG0000004	WP_096625140.1	WP_096689080.1
OG0000006	WP_096625466.1	WP_096692265.1, WP_096695216.1, WP_096687971.1, WP_096688995.1, WP_096684079.1, WP_096694259.1, WP_096689394.1, WP_096689393.1
OG0000007	WP_231943311.1	WP_096692877.1, WP_096686951.1, WP_096692008.1, WP_096689422.1, WP_096684672.1, WP_096685975.1, WP_096684018.1, WP_096686176.1, WP_096692203.1, WP_096689501.1, WP_096686146.1, WP_096694206.1, WP_096692192.1, WP_096691919.1
OG0000008	WP_096621553.1	WP_096689183.1
OG0000008	WP_096622727.1	WP_096686702.1, WP_096691783.1
OG0000009	WP_096626506.1	WP_096688202.1, WP_096688203.1, WP_096689823.1, WP_096694298.1, WP_096689785.1, WP_096694550.1, WP_096685165.1, WP_096688208.1, WP_096689492.1
OG0000010	WP_096626149.1	WP_096692129.1
OG0000011	WP_096623713.1	WP_096686164.1
OG0000011	WP_096620028.1	WP_096688605.1
OG0000011	WP_096621391.1	WP_096692402.1
OG0000011	WP_096625956.1	WP_096686129.1, WP_096685800.1
OG0000011	WP_096622982.1	WP_096687837.1
OG0000011	WP_096626355.1	WP_096683929.1, WP_096690206.1, WP_096694373.1
OG0000014	WP_231943204.1	WP_096691235.1
OG0000015	WP_096620151.1, WP_096620150.1, WP_096621610.1, WP_096621608.1, WP_096621607.1	WP_096684727.1, WP_096684729.1, WP_096684731.1, WP_096690481.1, WP_096692766.1, WP_096683728.1, WP_096694254.1, WP_096694872.1
OG0000016	WP_096620459.1	WP_096685008.1
OG0000016	WP_096622633.1	WP_096686371.1
OG0000016	WP_096623392.1	WP_096694139.1
OG0000017	WP_197707080.1	WP_096690249.1
OG0000017	WP_096620029.1	WP_096688606.1
OG0000017	WP_096622984.1	WP_096687838.1
OG0000018	WP_096625703.1	WP_096691938.1
OG0000018	WP_096623669.1	WP_096693862.1
OG0000018	WP_096621361.1	WP_096690829.1
OG0000019	WP_096621513.1	WP_096691522.1, WP_096683961.1, WP_096684364.1, WP_096683944.1, WP_096692214.1, WP_096690012.1, WP_096693074.1, WP_096694258.1, WP_096684432.1, WP_096684403.1
OG0000020	WP_096623433.1	WP_096686005.1
OG0000020	WP_096621408.1, WP_096621405.1, WP_096621409.1	WP_096692263.1, WP_096693397.1, WP_096691508.1
OG0000022	WP_231943158.1	WP_096694458.1
OG0000022	WP_231943097.1	WP_096685392.1, WP_096688731.1
OG0000023	WP_096620061.1	WP_096689505.1
OG0000023	WP_096621655.1	WP_096691269.1, WP_096692561.1
OG0000023	WP_096622279.1	WP_096689037.1
OG0000025	WP_255408932.1	WP_096691930.1
OG0000026	WP_096621069.1	WP_096690637.1
OG0000027	WP_231943400.1	WP_096686888.1
OG0000028	WP_096620975.1	WP_096691059.1
OG0000028	WP_096620976.1	WP_096688384.1, WP_096686678.1
OG0000028	WP_096620048.1	WP_096689726.1
OG0000028	WP_096620236.1	WP_096684864.1
OG0000029	WP_096620241.1	WP_096684050.1, WP_096685965.1, WP_096683844.1
OG0000030	WP_096622143.1	WP_096690994.1, WP_096690674.1
OG0000030	WP_096622145.1, WP_096620192.1	WP_096689050.1
OG0000031	WP_231943126.1	WP_096688702.1
OG0000031	WP_096624549.1	WP_096686047.1
OG0000032	WP_096623503.1	WP_096693712.1
OG0000033	WP_096624646.1, WP_096624648.1	WP_096690666.1
OG0000035	WP_096623174.1	WP_096689136.1
OG0000035	WP_096624093.1	WP_096686274.1, WP_096689974.1, WP_096689068.1, WP_096689063.1, WP_096683742.1, WP_096689182.1
OG0000036	WP_096622408.1	WP_096689251.1, WP_096693519.1
OG0000037	WP_096621017.1	WP_096689828.1, WP_096690445.1
OG0000037	WP_096621134.1	WP_096686575.1
OG0000038	WP_231943206.1	WP_096687180.1, WP_096689831.1, WP_096685000.1
OG0000039	WP_096624553.1	WP_096686045.1, WP_096691438.1
OG0000040	WP_096622902.1, WP_096621351.1, WP_096621446.1, WP_096622659.1, WP_255408815.1	WP_096683938.1, WP_096691251.1, WP_096689312.1, WP_096689104.1, WP_096692792.1
OG0000041	WP_096621846.1	WP_096684128.1, WP_096689003.1, WP_096686338.1
OG0000041	WP_096620723.1	WP_096693688.1, WP_096689477.1, WP_096693652.1
OG0000042	WP_096621395.1, WP_096621392.1	WP_096691555.1, WP_096683799.1
OG0000043	WP_096625205.1	WP_096688360.1
