Orthogroup	NIES-4105	PCC_6303
OG0000000	WP_096691415.1	WP_158333121.1
OG0000000	WP_096694864.1, WP_096686957.1	WP_158333186.1
OG0000000	WP_096685762.1	WP_015198594.1, WP_015195831.1, WP_015199418.1, WP_015196614.1, WP_015195832.1
OG0000001	WP_096691420.1	WP_015196065.1
OG0000001	WP_096683859.1	WP_015197900.1
OG0000001	WP_096691166.1	WP_015197065.1
OG0000001	WP_096693914.1, WP_096686922.1	WP_015173933.1
OG0000001	WP_096691299.1	WP_015198359.1
OG0000003	WP_096683788.1	WP_015199109.1
OG0000003	WP_096684114.1	WP_015199707.1
OG0000003	WP_096688721.1	WP_015200453.1
OG0000003	WP_096691414.1	WP_144050988.1
OG0000004	WP_096684087.1	WP_015199106.1, WP_015199715.1, WP_015197258.1, WP_015200354.1
OG0000004	WP_096691937.1	WP_015198912.1
OG0000004	WP_096689080.1	WP_015199222.1
OG0000005	WP_096687819.1	WP_015198212.1
OG0000005	WP_096685039.1, WP_096687816.1	WP_015198217.1
OG0000005	WP_096687815.1	WP_015198218.1
OG0000005	WP_096687817.1	WP_015198221.1
OG0000006	WP_096692265.1, WP_096695216.1, WP_096687971.1, WP_096688995.1, WP_096684079.1, WP_096694259.1	WP_015197967.1, WP_015197966.1, WP_083866368.1, WP_015197962.1
OG0000006	WP_096689394.1, WP_096689393.1	WP_015195855.1
OG0000006	WP_096693503.1	WP_015199356.1
OG0000007	WP_096692877.1	WP_015199497.1
OG0000008	WP_096689183.1	WP_015199589.1
OG0000008	WP_096686702.1, WP_096691783.1	WP_015196367.1, WP_015197278.1
OG0000008	WP_096691039.1	WP_015197137.1
OG0000008	WP_096692911.1, WP_096692912.1	WP_015199368.1
OG0000008	WP_096688693.1, WP_096688683.1	WP_015196926.1
OG0000009	WP_096689823.1, WP_096694298.1	WP_015200536.1
OG0000009	WP_096689785.1	WP_015196938.1
OG0000010	WP_096692129.1	WP_015199610.1
OG0000011	WP_096686164.1	WP_015198485.1
OG0000011	WP_096692042.1	WP_015195952.1
OG0000011	WP_096688605.1	WP_015199293.1
OG0000012	WP_096686306.1	WP_015200439.1
OG0000012	WP_096691685.1	WP_015200231.1
OG0000014	WP_096691235.1	WP_015200405.1
OG0000014	WP_096686410.1	WP_015201036.1
OG0000014	WP_096688443.1	WP_015200537.1
OG0000016	WP_096686993.1, WP_096693706.1	WP_015198501.1
OG0000016	WP_096685008.1	WP_015199431.1
OG0000016	WP_096686371.1	WP_015196780.1
OG0000017	WP_096690249.1	WP_015195951.1
OG0000017	WP_096688606.1	WP_015199294.1
OG0000017	WP_096684251.1	WP_015198486.1
OG0000017	WP_096686127.1, WP_096685802.1	WP_015196930.1
OG0000017	WP_096687569.1	WP_015197990.1
OG0000018	WP_096691938.1	WP_015198913.1
OG0000018	WP_096694074.1, WP_096693862.1, WP_096691355.1, WP_096684086.1, WP_096684774.1, WP_096690829.1	WP_238993839.1
